STDNT_ID	HS_GPA	MAX_ACT_MATH_SCR	MAX_ACT_ENGL_SCR	STDNT_GNDR_SHORT_DES	FIRST_GENERATION	STDNT_UNDREP_MNRTY_CD	ZIP_CODE	MEDIAN_INCOME
2563	4	32	29	1	0	0	01581	86867
1106	3.82	16	18	1	0	0	48203	31666
2686	3.9	25	34	1	0	0	13862	44541
2010	3.7	28	26	1	1	0	54754	38088
6501	4	32	30	0	0	0	64746	39361
6249	3.9	26	28	1	0	1	38833	30152
6267	3.69	30	34	1	0	0	67572	37083
4084	3.75	27	27	1	0	0	44802	37656
6672	3.7	26	32	0	0	0	08807	85442
3253	3.4	30	36	1	1	0	56367	47117
4651	3.7	30	27	0	0	0	61949	41000
3807	3.91	28	29	0	0	0	99921	50391
823	3.7	28	29	1	0	0	18417	41667
598	3.8	24	26	1	0	0	53571	52232
1686	3.6	33	33	1	0	1	16224	34924
6035	3.93	23	29	1	0	0	04496	42152
1010	3.84	35	24	1	0	0	96052	40250
4597	3.68	29	31	0	0	0	29921	26389
2853	3.9	30	30	0	0	0	77498	53016
4966	3.7	24	30	0	0	0	38037	32337
183	4	33	24	1	0	1	32159	35504
6820	3.6	28	34	1	0	0	15122	43730
2342	4	35	33	0	0	0	70393	40216
2492	3.85	23	26	0	0	0	47348	37593
4667	3.4	34	31	1	0	0	96031	35250
3587	4	29	34	1	0	1	12053	50446
2239	0	28	28	1	0	0	30184	51149
6580	3.7	34	35	0	0	0	07465	61496
6085	3.32	28	23	1	0	0	27596	43475
983	3.79	28	34	0	0	0	02026	65106
4619	3.3	36	34	0	0	0	16729	43477
4071	3.8	31	35	1	0	0	11590	51683
2282	3.9	26	29	1	0	0	14533	45313
6470	3.81	27	21	1	0	1	73541	42441
165	3.9	26	27	1	0	1	71351	36082
5887	3.63	30	31	1	0	1	61523	41027
277	3.74	30	19	1	0	0	62028	57868
2818	3.9	30	35	1	0	0	34677	50109
341	3.7	32	30	1	0	0	57383	41452
6581	3.6	25	29	1	0	1	07762	60265
3778	3.9	33	33	1	0	0	24361	37535
575	3.8	23	21	1	0	0	78229	35844
114	0	27	30	1	0	0	44880	41250
2196	3.8	31	31	0	0	1	13355	41422
400	3.94	26	34	0	0	1	98394	71941
463	3.7	25	26	1	1	0	48888	40142
5873	3.98	35	35	1	0	0	19465	59009
2059	3.93	29	32	1	0	0	46580	39791
4609	3.8	27	29	0	0	0	95354	45504
316	3.86	28	32	0	0	0	29229	44913
6814	3.99	29	34	1	0	0	71943	34757
1058	4	22	35	0	0	0	89438	65682
4906	3.7	27	35	1	0	0	70711	49020
804	3.88	35	31	1	0	1	32822	30563
2238	3.8	22	31	0	0	0	46982	40987
2706	3.98	26	30	0	0	0	05341	43125
2922	4	27	26	0	0	0	19707	80420
4108	3.96	26	35	1	0	0	03766	52305
6629	3.93	34	34	0	0	0	17220	37404
1309	4	25	24	0	0	0	93722	40310
2628	4	20	32	1	0	0	68455	38798
848	3.62	30	31	1	0	0	36071	43750
4319	3.7	28	26	1	1	0	58035	37273
96	3.6	34	23	0	0	0	11206	42057
3160	3.96	28	34	0	0	1	49965	56750
2128	3.9	29	30	1	0	1	58436	40179
5481	3.9	26	35	0	0	1	29374	45687
214	3.85	30	27	0	0	0	71603	38059
4012	3.4	32	28	0	0	0	13471	40330
3659	3.39	28	23	1	0	1	67575	43068
4683	4	25	35	0	0	0	76637	28000
3183	0	30	33	1	0	1	34788	36678
6744	3.9	25	31	1	0	0	72571	43578
2797	3.8	25	35	0	0	0	45174	123846
6490	3.6	31	35	0	0	0	27525	41506
1001	3.77	26	29	1	1	0	68418	44583
5359	3.91	32	35	0	0	0	97905	14650
5279	3.96	29	22	1	0	0	44815	37813
6606	3.39	26	19	1	1	0	54745	45298
2597	4	27	32	1	0	0	01602	55143
4459	3.6	21	19	1	0	0	59353	41007
490	3.89	24	27	0	0	0	27884	40643
2341	3.6	25	29	1	0	0	30733	31776
4213	3.9	34	34	1	0	0	18347	41167
3931	3.7	29	31	0	0	0	29204	36823
6989	3.9	32	25	1	0	0	60035	103198
6573	3.6	33	28	1	0	0	48745	34063
3293	3.9	32	33	1	0	0	77386	65281
3022	3.8	27	32	1	0	1	03830	44734
4155	4	28	31	1	0	0	62918	48278
6400	3.95	32	29	1	0	0	32976	41393
4986	3.69	30	34	1	0	0	79838	25574
3495	3.98	30	30	0	0	1	15535	37472
3388	3.9	20	30	1	0	0	30439	32304
4509	3.8	32	35	0	0	0	04038	52220
2242	3.7	31	33	0	0	0	23669	41216
54	3.85	22	31	0	0	0	62305	44206
519	3.6	29	28	1	0	0	65649	30440
6187	4	25	30	0	0	0	47584	41094
2815	4	30	35	1	0	0	04556	41087
1773	0	24	34	0	0	0	34951	37119
4578	3.5	27	27	1	0	0	51439	38750
923	3.7	35	29	0	0	1	71291	41381
3127	3.8	27	24	0	0	0	46542	40781
5723	3.7	33	30	1	0	1	85338	42143
2394	3.76	30	32	0	0	0	50234	52763
1544	3.7	24	29	1	0	0	49248	43882
2482	3.97	32	28	0	0	0	50540	42308
6675	4	27	32	0	0	0	43031	51331
8	3.88	35	26	1	0	1	95075	51875
3882	4	32	27	0	0	1	67482	57125
6437	3.97	35	33	1	0	0	61478	58083
5475	3.9	34	24	1	1	0	64056	41256
751	3.9	27	27	1	0	0	70601	30115
6697	3.69	23	27	1	0	0	35540	41250
1764	3.9	32	31	0	0	1	76933	34231
6866	3.85	31	25	0	0	0	66026	35000
3846	3.6	24	30	0	1	0	72529	30612
351	4	32	32	1	0	0	49751	42574
1807	3.44	24	28	1	0	0	01330	50395
4251	0	24	33	1	0	0	53954	47500
4968	3.02	28	24	1	0	0	45155	30833
3643	3.4	21	31	1	1	0	68925	41563
4214	3.83	24	29	1	0	0	52560	43967
1417	3.97	26	34	0	1	1	24381	36377
3158	3.86	32	33	1	0	0	95553	40707
1982	4	26	34	1	0	0	63857	36004
4604	3.8	27	27	1	0	0	85630	40469
5365	0	25	31	0	0	0	30735	33023
1899	2.96	27	26	1	0	0	79755	32135
5338	3.7	24	24	1	0	0	68123	47508
4679	3.78	32	22	1	1	0	54761	42500
39	3.9	33	25	0	1	1	24637	37279
5118	3.8	26	24	1	0	0	29302	46429
2399	4	32	26	0	0	0	11794	18906
5858	4	34	36	0	0	0	68022	64569
969	0	24	22	1	0	0	80924	76580
4688	3.9	25	27	1	0	0	53215	30591
4719	3.93	34	32	0	0	0	50467	33750
884	4	25	32	0	0	1	60471	47915
1643	4	28	33	0	0	0	97490	53333
4277	3.7	28	23	1	0	0	18830	45313
1092	4	34	32	1	0	0	45644	49872
5780	3.7	29	30	0	0	0	80129	76588
6409	3.8	27	23	0	0	0	43456	51184
1538	3.97	21	25	1	0	1	52802	36022
5474	0	32	33	0	0	0	46368	45356
3520	3.92	26	32	0	0	0	27970	28021
1389	3.9	30	34	1	0	1	61747	48125
1373	3.6	28	26	0	0	0	46825	41598
529	3.7	33	35	1	0	1	37877	40093
2906	0	24	30	1	0	0	97839	30625
2023	3.9	27	27	0	0	0	81064	28824
5291	3.9	27	30	0	0	0	15363	41477
3310	4	25	25	1	0	0	33166	40559
55	3.9	28	22	1	0	0	21153	203750
3249	3.9	31	35	0	1	0	68966	35926
1111	3.8	34	35	0	1	0	58420	47051
1418	3.8	31	29	0	0	1	57538	38897
1329	3.6	26	25	0	0	1	55918	47202
5963	3.82	33	35	0	0	0	79088	35793
5216	3.56	22	27	0	0	0	68932	46875
6603	3.83	29	31	0	0	1	13658	45125
2976	3.9	32	24	1	0	0	12775	60615
5764	3.8	27	25	1	0	1	19966	40115
3895	3.9	29	35	1	0	0	53937	37051
5640	3.92	31	28	0	0	0	49202	34762
6548	3.5	25	26	0	1	1	68466	34571
6021	3.8	32	31	1	0	0	61108	41676
3184	3.83	29	32	1	0	0	13420	40288
5073	3.64	17	27	0	0	0	73151	87750
6353	3.62	30	29	1	0	0	38425	32146
4343	3.9	22	34	1	0	0	28090	33953
4815	3.9	28	31	1	0	0	01504	52237
1920	3.5	32	28	1	0	1	88072	21458
2102	0	33	26	1	0	0	95920	25417
577	3.78	23	33	1	0	1	67050	51071
2785	3.6	26	32	0	0	0	13134	40417
4687	3.9	29	27	1	0	0	78055	26912
5876	3.9	25	34	1	1	0	45622	76364
3501	4	35	35	0	0	0	27581	44309
2525	3.99	29	34	1	0	0	14717	34063
1133	0	34	33	0	0	1	98367	56894
877	3.83	31	34	0	0	1	60409	41638
6929	3.6	27	28	0	0	1	53072	62248
1440	3.9	19	24	0	0	1	79915	27017
46	3.7	32	31	0	0	0	32730	39007
3745	3.94	34	32	0	0	0	46164	48458
3881	3.97	22	34	0	0	1	98520	42304
6046	3.9	31	35	1	1	0	11793	75738
974	3.6	30	34	1	0	0	33021	44594
4274	3.1	21	33	0	1	0	54653	41830
631	3.7	26	35	1	0	0	80860	36750
1775	4	28	30	1	0	0	37143	49205
5160	3.67	26	29	1	0	0	16023	49458
4741	3.63	26	26	1	0	0	14486	45694
6918	3.84	34	34	1	0	0	13440	41224
2638	4	30	35	0	0	0	13037	51075
1783	3.9	25	26	1	0	0	43536	33013
1902	3.81	34	35	1	0	0	79401	26787
3175	3.91	35	28	0	0	1	27544	37033
3918	3.9	30	34	1	0	0	15678	42298
3973	3.54	30	34	1	0	0	95631	63715
2872	3.6	29	33	0	0	0	16829	37688
3250	3.97	33	30	0	0	0	93621	39196
6342	3.5	32	31	1	0	0	12851	31875
1492	3.4	32	28	0	0	1	90402	106563
5667	3.7	26	27	1	0	0	97203	44643
6362	3.98	32	30	0	1	0	45011	47325
2100	3.9	28	26	1	0	0	12921	48396
3287	3.9	21	35	1	0	0	66058	35000
1021	3.7	35	27	0	0	0	27947	40349
1371	3.9	34	33	1	0	0	36758	45583
1746	3.98	36	34	1	0	0	63368	61747
5004	4	34	31	1	0	0	44102	33872
3135	3.9	27	34	0	0	0	12060	47813
2460	0	35	25	0	0	0	58064	46406
876	3.2	25	34	0	0	0	80108	92485
6874	3.7	26	35	1	0	0	57251	30000
1392	4	34	32	1	0	0	00741	20781
2494	3.98	30	36	1	0	1	64424	34110
3248	3.9	33	35	0	0	0	83522	38594
1989	3.75	35	26	1	0	0	80926	39875
2988	3.67	25	30	1	1	0	27947	40349
5379	3.84	33	34	1	0	0	17244	40357
1744	3.67	34	32	1	0	0	43974	36250
2685	4	32	25	1	0	1	78538	25894
1524	3.8	31	32	0	0	0	79045	38130
448	3.7	32	30	0	0	0	27242	39505
6598	3.9	25	34	0	0	1	56152	40331
3578	3.96	32	32	1	0	0	19008	61561
2900	3.71	33	26	0	0	0	27937	44545
1266	3.3	27	26	0	0	0	39338	31656
6660	4	30	35	0	0	0	05039	45000
6579	4	33	27	0	0	0	11357	62360
135	3.9	32	27	1	0	1	13670	34063
1946	4	34	27	0	0	0	12737	49018
856	3.68	34	34	0	1	1	00641	20588
5860	3.9	22	34	0	0	0	21048	64047
4905	4	26	32	1	0	0	01038	51856
4308	3.8	30	30	1	0	0	66226	67341
5024	3.58	30	36	0	0	1	46143	51170
2381	3.5	27	29	1	0	0	32920	48918
6787	3.9	29	28	0	0	0	98662	46414
2575	3.96	34	34	0	0	1	53556	38984
3590	3.98	32	25	0	0	0	52576	37115
5466	3.9	31	29	0	0	0	14712	47973
649	3.6	31	35	0	0	0	22181	112500
6799	4	25	33	1	0	0	52583	34000
6358	4	34	30	0	0	0	02911	50274
6449	3.5	21	26	0	0	1	43158	35938
17	4	27	35	0	0	0	59871	46250
3968	3.8	30	27	0	1	1	17954	39851
5662	4	31	32	0	0	0	96813	52842
1769	3.72	33	34	0	0	0	83533	41944
5514	4	24	30	1	0	0	15001	49105
1594	3.8	26	32	1	0	0	72011	42002
6753	3.97	33	30	1	0	0	95945	44458
1083	3.9	30	34	0	0	0	60921	36607
5042	3.5	27	34	0	0	0	67347	34375
5981	3.7	35	29	1	0	0	47384	44688
847	3.5	29	32	0	0	1	60706	48917
3073	0	23	26	0	0	1	11726	42411
1699	3.6	31	30	0	0	0	38258	37250
6464	4	33	29	0	0	0	50606	32431
4579	3.9	30	27	0	0	0	46077	83088
5028	3.9	30	28	1	0	0	14743	41000
1225	3.9	31	33	0	0	0	06232	65581
6161	3.9	34	34	1	0	0	38668	42780
5044	3.7	26	32	1	1	0	24983	31410
5445	3.9	25	33	0	0	0	77011	26041
1924	3.9	32	33	0	0	0	07109	45849
6406	4	29	31	1	0	0	82723	54515
3204	3.25	29	30	0	0	1	60035	103198
249	3.76	29	35	0	0	1	27883	37941
573	4	32	30	0	1	0	93662	35210
1386	3.5	34	27	1	0	0	57033	45212
1786	3.6	27	27	0	1	0	79041	41557
6618	3.5	24	33	0	0	1	29456	39315
5744	3.7	30	29	1	0	0	57451	42125
6916	3.57	30	25	0	0	1	71823	23750
3936	4	32	29	0	0	0	13438	42236
4341	3.7	27	27	0	1	1	73014	37222
1403	3.79	29	34	1	0	0	43031	51331
4792	3.9	33	29	0	0	0	23898	50486
1932	3.93	34	33	1	0	1	48616	38929
6142	3.84	26	28	1	0	0	94610	72299
586	3.91	24	33	1	0	0	78935	34213
5636	4	30	32	0	0	0	86401	42444
5867	3.3	25	31	0	0	0	28585	41281
5759	3.83	28	32	0	0	0	23103	78542
2373	3.6	23	33	1	0	0	72392	46563
4891	3.69	24	31	0	0	0	90005	25102
430	3.9	30	25	0	0	0	86021	32069
2235	3.65	30	33	0	0	1	43557	37299
321	3.7	33	35	0	1	0	06242	63125
4983	3.79	34	27	0	0	0	71033	45587
2078	3.85	35	27	0	0	0	55116	61669
4863	3.7	30	29	0	0	0	15204	37829
329	4	32	28	0	0	0	12469	36458
428	3.7	24	28	0	0	0	78236	26207
5467	3.8	34	35	1	0	0	44132	36391
6810	3.8	29	27	0	0	0	48186	40333
1459	0	29	26	1	0	0	54945	47283
1055	3.66	25	28	1	0	0	19004	84069
3835	3.8	32	33	1	0	0	72568	29040
662	4	35	35	0	0	0	37078	40278
1832	0	32	32	0	0	0	48003	51030
3640	3.8	26	29	0	0	1	48615	40735
2609	3.6	32	31	0	0	1	80802	36607
5629	0	26	26	1	1	0	08876	63536
443	3.9	30	30	0	0	0	59088	43514
2358	3.73	27	34	0	0	1	44883	40547
441	3.86	35	35	0	0	0	28363	36941
5385	4	30	29	1	0	0	59929	40202
5682	3.89	35	32	1	0	0	78008	41648
4458	3.9	28	35	1	0	1	85087	54123
874	3.85	27	29	1	0	0	90005	25102
897	3.9	35	35	0	0	0	28150	34107
12	3.85	29	30	1	0	0	63147	33082
5141	3.6	29	32	1	0	1	01072	58654
6007	3.71	33	30	1	0	0	49779	31964
4762	3.9	33	31	0	0	0	02464	73849
6565	3.7	32	35	0	0	0	39150	31140
2710	3.9	28	25	0	0	0	33760	32026
1532	3.91	34	30	0	0	0	69350	31484
5362	3.9	35	28	0	0	0	38001	32827
1415	3.65	31	29	0	0	1	13040	35455
6191	3.5	28	34	0	0	0	24595	29327
3401	4	28	32	0	0	0	03273	56944
1377	3.87	28	32	1	0	0	73655	31563
4498	3.93	29	30	0	0	0	74633	40341
4886	3.98	35	30	0	0	1	16876	38750
3644	3.9	29	28	0	0	0	75127	33382
1872	3.93	30	34	1	0	0	33013	26484
544	3.9	30	34	0	0	0	16503	24826
251	3.7	34	35	1	0	0	04413	36607
1328	3.67	27	30	0	0	0	27028	35584
3261	3.9	24	34	0	0	0	91007	54826
4980	3.67	24	25	1	0	0	04464	33750
3524	3.8	33	32	0	0	0	89822	73819
716	3.87	26	31	0	0	0	01742	107909
1245	4	32	33	1	0	0	62238	34519
5707	3.9	29	31	0	0	0	93249	25717
1368	0	30	32	1	0	0	29302	46429
2606	3.69	29	35	0	0	1	38617	28068
5593	3.7	28	34	0	0	0	84014	60011
1325	3.3	27	27	1	0	0	50101	30893
4364	3.7	26	31	0	0	0	49631	36316
2075	3.79	30	28	1	0	0	25817	72976
2651	3.76	34	35	1	0	0	65738	38462
3349	3.4	32	25	1	0	0	72085	35417
6544	3.8	26	27	0	0	1	19425	104167
1811	3.7	29	34	0	0	0	55329	36025
3627	3.9	26	34	1	0	0	76875	41453
3999	3.82	23	32	0	1	0	80701	36708
4680	3.9	24	34	0	0	0	98672	41581
353	3.5	28	31	0	0	1	87832	56250
4148	3.87	33	26	1	0	0	01347	41759
1173	3.77	31	29	1	0	1	06023	60840
1629	3.71	30	33	1	0	1	15958	46379
6768	3.5	31	29	0	0	0	60546	60526
265	4	26	28	0	0	0	20901	65909
3871	3.9	26	34	1	0	0	83844	8021
5715	3.92	33	34	1	0	0	12134	37404
6073	3.5	26	35	0	0	0	64114	49665
4823	3.914	34	34	1	0	0	50633	29135
3810	3.7	35	27	0	0	0	75968	38125
660	3.5	28	33	0	0	1	68727	42400
2888	3.74	29	29	1	0	0	66932	31875
2971	3.9	27	31	0	0	0	61607	41611
1205	3.46	35	26	1	1	0	62295	50284
6515	3.9	28	33	1	0	0	70538	40915
5387	4	35	27	1	0	0	21061	45866
3360	3.7	24	30	0	0	0	83350	35018
6486	3.9	28	33	0	0	0	85925	41467
2091	3.9	26	28	1	0	1	97721	18500
5483	3.6	33	28	0	0	0	76548	47580
1796	3.4	32	28	0	0	0	95219	65809
4035	3.9	30	26	1	0	0	76903	29534
4610	3.81	29	30	1	0	0	83643	51000
4048	0	31	30	0	0	0	31072	40507
6632	3.9	31	32	0	1	1	77419	41114
4544	3.93	24	25	0	0	0	06413	60186
4510	3.8	33	35	0	0	0	78393	41391
5439	4	27	33	0	1	0	48439	56675
922	3.76	36	32	0	0	0	38629	40455
2421	3.87	24	27	1	0	1	08212	38750
3411	3.74	28	25	1	0	0	72166	67563
3264	3.6	23	33	1	0	0	37306	33934
3811	3.8	25	26	1	0	0	21673	46066
6175	4	29	31	1	0	1	73527	45203
4242	3.76	23	24	0	0	1	78580	28065
2948	4	29	33	1	0	0	33527	38077
6502	3.8	28	27	0	0	0	53032	42833
6977	3.47	27	28	1	0	0	50565	33661
6869	3.8	33	29	1	0	0	72865	32667
6952	3.8	34	34	0	0	0	48416	40806
642	3.6	32	34	1	0	0	65348	37452
1366	3.4	32	30	1	0	0	52554	36293
6450	3.7	31	28	1	0	0	41847	43889
4228	3.5	33	28	0	0	0	43445	52778
5105	3.13	33	25	1	1	1	79360	43492
5722	3.8	26	28	0	0	0	95219	65809
109	3.8	32	28	0	0	0	85701	43891
9	3.9	32	35	0	0	1	01906	59495
2931	3.7	29	29	1	0	0	85053	40330
687	3.9	35	35	0	1	0	03106	57767
1546	3.93	30	31	1	0	0	31822	40196
1991	3.8	35	25	1	0	1	97392	45390
493	4	31	26	1	0	0	76527	40234
2535	4	31	28	0	0	1	21838	37734
4898	3.9	24	30	1	0	0	38372	36200
3067	3.84	36	33	0	0	0	71366	21776
3244	3.9	31	34	1	0	1	36093	53444
5789	3.74	29	32	1	1	0	64763	28684
2657	3.84	23	29	1	1	0	14904	38443
2241	0	19	35	0	0	0	65281	35142
1045	3.85	30	28	1	1	1	23169	31000
5178	3.67	19	27	0	1	0	54928	48500
3776	3.9	26	34	0	0	0	12929	43409
340	3.6	27	23	0	0	0	53565	41250
3274	3.57	25	33	0	0	0	79915	27017
6275	0	20	28	0	1	1	58423	41250
6597	3.7	33	33	1	0	1	20007	92925
4268	3.5	27	28	1	0	0	29729	39817
1308	3.56	33	25	1	0	0	06105	41602
2118	3.9	31	21	1	0	0	06336	96250
5114	4	31	34	1	0	1	99677	56477
3276	3.6	35	34	1	0	0	58030	44821
2644	3.98	29	33	0	0	0	68832	48235
1502	3.85	29	34	0	0	0	56534	44457
108	3.8	30	30	0	0	0	92243	41435
1357	3.8	28	25	1	0	1	78542	30673
6841	3.97	34	30	1	0	1	66769	36023
446	3.5	21	32	0	0	1	45619	35548
3738	3.51	33	35	0	0	1	64657	33906
5317	4	23	28	0	0	1	03103	40820
3820	3.9	21	31	0	0	0	97753	51236
4158	3.93	27	35	1	0	0	87417	38238
1549	4	29	27	0	0	0	72421	33355
6462	3.9	25	34	1	0	0	65583	37305
4577	4	31	32	0	1	0	47564	35450
6006	3.9	30	34	1	0	0	00687	17911
4258	3.5	27	30	0	0	0	61412	51146
3777	3.64	34	25	0	0	0	48027	51935
3076	3.6	29	30	1	0	1	30274	33844
1869	3.5	30	27	0	0	0	46795	42756
4921	3.7	30	26	0	0	1	64638	51250
175	3.9	29	29	0	0	0	23434	44452
104	3.76	32	33	0	0	0	87036	44412
7005	3.64	26	34	1	0	0	29810	30397
5546	3.74	36	34	1	0	0	65051	32524
1931	3.78	31	26	1	0	0	16326	35521
2490	3.6	27	27	1	0	1	58521	52222
4210	3.37	28	34	1	0	0	77984	42188
6533	4	27	32	0	0	0	52752	39444
808	4	27	28	0	0	0	23831	49239
5316	3.55	35	30	1	0	0	82637	52546
6673	3.94	33	32	1	0	1	23032	35990
5572	3.89	31	27	0	0	0	01420	45064
5883	4	32	34	1	0	0	78072	26058
4144	3.9	35	33	1	0	0	60081	60425
4201	3.9	36	30	1	0	0	26187	50589
1752	3.7	27	28	0	0	1	43926	33333
3559	3.7	25	26	0	0	1	31520	28960
3753	3.5	28	28	0	0	0	45432	50286
2453	3.9	32	32	1	0	0	23120	84104
3097	3.7	30	27	1	0	0	61325	50795
2114	3.9	21	30	1	0	0	73021	49583
5950	3.92	22	27	0	1	0	82329	42391
2831	3.3	33	28	1	0	0	75568	35962
5286	3.9	27	30	0	0	1	14057	47405
5456	3.9	29	28	0	0	0	29435	31577
4265	3.6	28	30	1	0	0	59935	39420
2371	3.79	35	33	0	0	0	87114	46728
115	3.6	31	28	0	0	0	39069	25174
1255	3.8	30	34	0	0	0	67483	32639
6144	3.63	34	26	0	0	0	14898	40976
5013	3.9	31	30	0	0	0	44116	62296
1856	3.97	35	24	1	0	0	79731	50981
3826	3.9	28	24	1	1	0	41332	38056
5568	3.96	30	33	0	0	0	11788	74005
1376	4	31	31	1	0	0	71826	36019
5211	3.99	26	25	0	0	0	57335	30350
306	3.9	26	33	1	0	0	12161	41250
3499	4	20	34	0	0	0	14609	40512
4064	4	36	29	0	0	0	47272	40123
161	3.98	29	33	0	0	0	94930	78474
3679	3.77	28	27	1	0	0	15140	35491
673	4	30	27	0	0	1	11718	85208
978	3.8	24	27	0	0	1	72840	32917
2119	3.9	32	31	0	0	0	64844	31813
4020	4	30	35	1	0	1	65072	42500
4947	3.6	34	30	0	0	1	38473	34583
3321	3.3	35	35	1	0	0	41075	57002
4879	3.92	35	33	0	0	0	68977	50500
3837	3.7	34	34	1	0	0	13802	42750
2233	3.85	34	35	0	0	0	32179	24992
6045	3.9	28	29	0	0	0	83540	32226
236	3.9	31	34	0	0	0	95307	39300
3470	4	35	28	1	0	0	21234	49683
4209	3.72	27	35	0	0	0	96075	26719
2538	3.9	28	32	1	0	1	57108	57556
6442	3.73	26	29	0	0	0	68042	48750
1078	3.8	32	27	1	0	1	29464	59505
6511	4	26	32	0	0	1	46759	38125
3088	3.7	26	32	0	0	1	72118	35858
3335	3.9	33	33	0	0	0	22949	40982
3273	3.6	32	33	1	0	0	38481	38700
3874	3.9	31	34	1	1	1	81325	32917
1632	3.711	34	30	0	0	0	10590	95185
3422	4	33	31	0	0	0	75411	50053
4387	3.89	30	28	0	0	0	84104	30685
5544	3.8	34	33	0	0	0	86511	34500
1383	4	33	34	1	0	0	28396	37500
6079	3.72	30	31	1	0	0	11102	52125
1705	3.9	33	30	1	0	0	32534	36401
6198	3.94	30	34	0	0	1	78102	37734
4091	4	32	34	1	0	0	67575	43068
3789	3.99	28	32	0	0	1	14807	41014
6372	4	27	28	1	0	1	83824	24318
5048	3.63	35	28	1	0	0	29712	48725
1973	3.86	28	29	0	0	0	87112	41999
5754	3.9	35	28	0	0	0	49457	41394
4527	3.9	23	29	1	0	0	71852	31100
2980	3.9	29	31	0	0	0	61241	51414
4548	0	30	27	0	0	1	96749	39957
1978	3.6	32	32	0	0	0	12781	25667
5783	3.7	29	27	1	0	1	87010	53904
5497	3.67	27	26	1	0	0	03264	47817
5436	3.6	26	29	1	0	0	50162	35069
3736	4	31	29	1	0	1	61753	47023
6147	3.9	32	27	0	0	0	95602	56583
1172	3.9	33	31	1	1	1	37373	44831
6467	0	24	34	0	0	0	75707	46005
5062	3.95	26	34	0	0	0	27201	51429
4057	3.81	30	35	0	0	0	57646	39444
1740	3.98	31	34	0	0	1	56583	36250
1049	3.8	26	33	0	0	0	72335	31731
350	3.95	34	26	0	0	0	01904	54556
