STDNT_ID	TERM_CD	SBJCT_CD	CATLG_NBR	CRSE_CMPNT_CD	GRD_PNTS_PER_UNIT_NBR	UNITS_ERND_NBR	EXCL_CLASS_CUM_GPA
1902	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.826
1982	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.886
2102	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.461
4687	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.633
3973	6	Biology/Biological Sciences, General	113	LEC	4	3	3.925
5534	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.725
5338	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.556
413	10	Biology/Biological Sciences, General	113	LEC	3	3	3.2
3417	14	Biology/Biological Sciences, General	113	LEC	4	3	3.926
351	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.514
5319	10	Biology/Biological Sciences, General	113	LEC	2.7	3	2.047
5481	2	Biology/Biological Sciences, General	113	LEC	3	4	2.952
6021	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.671
3163	2	Biology/Biological Sciences, General	113	LEC	3	4	2.833
1807	10	Biology/Biological Sciences, General	113	LEC	3	3	3.431
6687	14	Biology/Biological Sciences, General	113	LEC	2.7	3	2.854
983	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.185
6035	6	Biology/Biological Sciences, General	113	LEC	2	3	2.653
3925	6	Biology/Biological Sciences, General	113	LEC	4	3	3.745
6501	10	Biology/Biological Sciences, General	113	LEC	3.3	3	3.779
2341	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.609
6046	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.719
5216	14	Biology/Biological Sciences, General	113	LEC	2.7	3	2.567
2196	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.368
4651	6	Biology/Biological Sciences, General	113	LEC	3	3	3.065
165	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.5
4214	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.605
5475	10	Biology/Biological Sciences, General	113	LEC	2.7	3	2.113
3175	6	Biology/Biological Sciences, General	113	LEC	3.3	3	2.898
2242	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.383
183	6	Biology/Biological Sciences, General	113	LEC	4	3	3.452
4012	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.542
4274	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.463
2628	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.521
1773	6	Biology/Biological Sciences, General	113	LEC	2.7	3	2.06
1031	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.511
3158	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.486
1001	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.352
1775	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.798
5873	14	Biology/Biological Sciences, General	113	LEC	3.3	3	3.51
3127	14	Biology/Biological Sciences, General	113	LEC	3	3	3.345
5640	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.532
848	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.383
6918	2	Biology/Biological Sciences, General	113	LEC	4	4	3.671
823	2	Biology/Biological Sciences, General	113	LEC	4	4	3.789
2760	10	Biology/Biological Sciences, General	113	LEC	2.7	3	2.692
4578	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.367
490	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.122
6989	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.369
3253	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.329
2010	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.37
3643	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.238
6697	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.718
6580	6	Biology/Biological Sciences, General	113	LEC	4	3	3.698
6820	6	Biology/Biological Sciences, General	113	LEC	3	3	3.103
3310	2	Biology/Biological Sciences, General	113	LEC	2.7	4	2.981
2782	2	Biology/Biological Sciences, General	113	LEC	3	4	3.08
4459	2	Biology/Biological Sciences, General	113	LEC	2	4	2.629
6490	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.288
1373	6	Biology/Biological Sciences, General	113	LEC	3	3	3.549
5876	6	Biology/Biological Sciences, General	113	LEC	4	3	3.814
923	2	Biology/Biological Sciences, General	113	LEC	4	4	3.964
2399	6	Biology/Biological Sciences, General	113	LEC	3	3	3.738
3692	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.13
2218	2	Biology/Biological Sciences, General	113	LEC	4	4	4
1899	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.833
4667	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.74
3565	2	Biology/Biological Sciences, General	113	LEC	3	4	3.268
6629	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.936
5474	6	Biology/Biological Sciences, General	113	LEC	4	3	3.685
5160	14	Biology/Biological Sciences, General	113	LEC	4	3	3.77
2638	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.662
2922	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.478
6422	6	Biology/Biological Sciences, General	113	LEC	4	3	3.81
713	14	Biology/Biological Sciences, General	113	LEC	3.3	3	3.359
2785	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.242
2686	6	Biology/Biological Sciences, General	113	LEC	4	3	3.91
6187	2	Biology/Biological Sciences, General	113	LEC	3.7	4	4
1259	6	Biology/Biological Sciences, General	113	LEC	2	3	2.263
5963	18	Biology/Biological Sciences, General	113	LEC	3	3	2.981
2046	10	Biology/Biological Sciences, General	113	LEC	3	3	3.112
55	18	Biology/Biological Sciences, General	113	LEC	3.7	3	3.852
2706	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.217
3881	10	Biology/Biological Sciences, General	113	LEC	3	3	3.331
1538	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.423
2563	2	Biology/Biological Sciences, General	113	LEC	4	4	3.704
316	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.587
1544	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.167
2818	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.622
341	10	Biology/Biological Sciences, General	113	LEC	3	3	2.682
6319	14	Biology/Biological Sciences, General	113	LEC	3	3	2.754
3113	2	Biology/Biological Sciences, General	113	LEC	4	4	3.871
2906	6	Biology/Biological Sciences, General	113	LEC	2.7	3	3.433
4108	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.139
974	14	Biology/Biological Sciences, General	113	LEC	3	3	3.297
5329	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.6
3785	10	Biology/Biological Sciences, General	113	LEC	2.7	3	2.979
2797	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.35
2363	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.481
3819	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.562
3587	14	Biology/Biological Sciences, General	113	LEC	3.3	3	3.018
6470	6	Biology/Biological Sciences, General	113	LEC	2.7	3	2.298
3520	14	Biology/Biological Sciences, General	113	LEC	4	3	3.583
6409	2	Biology/Biological Sciences, General	113	LEC	2.3	4	2.5
4968	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.444
6613	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.262
1628	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.7
463	6	Biology/Biological Sciences, General	113	LEC	3	3	2.849
552	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.316
3250	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.449
400	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.671
4966	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.68
1737	10	Biology/Biological Sciences, General	113	LEC	3.3	3	3.315
114	6	Biology/Biological Sciences, General	113	LEC	3	3	2.915
2395	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.305
3931	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.579
3183	6	Biology/Biological Sciences, General	113	LEC	3	3	3.031
5279	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.397
2394	14	Biology/Biological Sciences, General	113	LEC	4	3	3.883
1783	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.659
6327	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.422
2277	6	Biology/Biological Sciences, General	113	LEC	3	3	3.107
29	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.547
4244	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.45
4719	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.719
6672	6	Biology/Biological Sciences, General	113	LEC	4	3	3.365
4388	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.831
599	6	Biology/Biological Sciences, General	113	LEC	3	3	2.912
6581	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.253
5887	6	Biology/Biological Sciences, General	113	LEC	3	3	2.568
4509	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.186
529	2	Biology/Biological Sciences, General	113	LEC	3	4	2.777
4155	6	Biology/Biological Sciences, General	113	LEC	3.3	3	2.943
2976	2	Biology/Biological Sciences, General	113	LEC	2.3	4	2.88
1309	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.113
4084	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.531
6085	2	Biology/Biological Sciences, General	113	LEC	2.3	4	2.843
4906	6	Biology/Biological Sciences, General	113	LEC	4	3	3.836
4688	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.571
54	10	Biology/Biological Sciences, General	113	LEC	3.3	3	3.326
1418	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.467
280	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.301
2872	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.213
751	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.443
6509	6	Biology/Biological Sciences, General	113	LEC	3	3	3.094
1303	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.354
4277	2	Biology/Biological Sciences, General	113	LEC	4	4	3.714
3293	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.719
3388	14	Biology/Biological Sciences, General	113	LEC	3	3	3.2
3918	2	Biology/Biological Sciences, General	113	LEC	4	4	3.9
4679	14	Biology/Biological Sciences, General	113	LEC	2.7	3	2.957
1148	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.279
1128	2	Biology/Biological Sciences, General	113	LEC	4	4	3.888
4322	6	Biology/Biological Sciences, General	113	LEC	3	3	3.112
3824	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.391
1764	14	Biology/Biological Sciences, General	113	LEC	3	3	3.32
1058	14	Biology/Biological Sciences, General	113	LEC	4	3	3.678
3846	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.351
2597	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.153
3495	14	Biology/Biological Sciences, General	113	LEC	3	3	2.914
4213	14	Biology/Biological Sciences, General	113	LEC	3.3	3	3.514
2135	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.722
5073	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.226
4597	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.522
5616	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.671
46	14	Biology/Biological Sciences, General	113	LEC	3	3	2.886
2525	2	Biology/Biological Sciences, General	113	LEC	4	4	4
4741	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.863
5119	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.191
6400	6	Biology/Biological Sciences, General	113	LEC	3	3	3.115
2128	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.615
2282	6	Biology/Biological Sciences, General	113	LEC	4	3	3.928
516	10	Biology/Biological Sciences, General	113	LEC	4	3	3.683
1133	2	Biology/Biological Sciences, General	113	LEC	3	4	2.716
6342	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.655
5365	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.24
4718	6	Biology/Biological Sciences, General	113	LEC	3	3	3.14
598	27	Biology/Biological Sciences, General	113	LEC	3.3	3	3.774
2440	10	Biology/Biological Sciences, General	113	LEC	4	3	3.615
8	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.704
2238	2	Biology/Biological Sciences, General	113	LEC	3	4	3.297
6616	14	Biology/Biological Sciences, General	113	LEC	2.7	3	2.717
877	10	Biology/Biological Sciences, General	113	LEC	3	3	2.248
6866	6	Biology/Biological Sciences, General	113	LEC	2.7	3	2.715
804	10	Biology/Biological Sciences, General	113	LEC	3.3	3	3.121
3395	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.374
2492	2	Biology/Biological Sciences, General	113	LEC	3	4	3.158
96	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.21
3022	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.531
884	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.154
5723	18	Biology/Biological Sciences, General	113	LEC	2.7	3	2.666
1389	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.632
3882	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.515
1417	6	Biology/Biological Sciences, General	113	LEC	2.7	3	2.904
6814	10	Biology/Biological Sciences, General	113	LEC	3.3	3	3.416
1563	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.33
5983	6	Biology/Biological Sciences, General	113	LEC	3	3	2.66
4683	6	Biology/Biological Sciences, General	113	LEC	4	3	3.768
1092	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.652
5118	2	Biology/Biological Sciences, General	113	LEC	3	4	3.193
6606	10	Biology/Biological Sciences, General	113	LEC	2.7	3	2.503
3501	10	Biology/Biological Sciences, General	113	LEC	3.3	3	3.132
6249	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.455
2815	2	Biology/Biological Sciences, General	113	LEC	3	4	2.967
39	14	Biology/Biological Sciences, General	113	LEC	3	3	3.081
2342	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.604
2853	2	Biology/Biological Sciences, General	113	LEC	4	4	3.781
277	14	Biology/Biological Sciences, General	113	LEC	3	3	2.576
3160	6	Biology/Biological Sciences, General	113	LEC	4	3	3.768
3659	6	Biology/Biological Sciences, General	113	LEC	3	3	3.156
4319	14	Biology/Biological Sciences, General	113	LEC	3.3	3	3.13
2821	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.824
3249	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.478
4609	14	Biology/Biological Sciences, General	113	LEC	4	3	3.715
631	6	Biology/Biological Sciences, General	113	LEC	2.7	3	2.16
5440	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.333
3354	6	Biology/Biological Sciences, General	113	LEC	2.3	3	2.733
6725	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.337
1111	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.215
5764	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.692
447	6	Biology/Biological Sciences, General	113	LEC	3	3	3.323
1686	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.217
969	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.174
3673	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.599
6573	2	Biology/Biological Sciences, General	113	LEC	3.3	4	2.728
4251	14	Biology/Biological Sciences, General	113	LEC	3	3	2.926
3184	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.534
6353	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.114
6437	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.873
6267	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.144
1712	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.769
2023	2	Biology/Biological Sciences, General	113	LEC	3	4	2.717
1440	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.93
6265	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.659
6068	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.543
6929	2	Biology/Biological Sciences, General	113	LEC	3.3	4	2.889
7012	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.091
4042	14	Biology/Biological Sciences, General	113	LEC	3.3	3	3.266
575	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.597
1920	2	Biology/Biological Sciences, General	113	LEC	3	4	2.5
519	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.063
4071	6	Biology/Biological Sciences, General	113	LEC	3	3	2.62
1329	14	Biology/Biological Sciences, General	113	LEC	3	3	2.747
4708	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.203
6675	18	Biology/Biological Sciences, General	113	LEC	3	3	2.489
430	9	Industrial Engineering	361	LEC	3.7	2	3.487
5467	10	Industrial Engineering	361	LEC	3	2	2.843
1371	9	Industrial Engineering	361	LEC	3	2	2.996
1524	10	Industrial Engineering	361	LEC	3	2	2.558
1832	9	Industrial Engineering	361	LEC	3	2	3.056
2381	10	Industrial Engineering	361	LEC	NA	2	3.932
1872	6	Industrial Engineering	361	LEC	3.7	2	3.182
1872	9	Industrial Engineering	361	LEC	3.7	2	3.153
5514	9	Industrial Engineering	361	LEC	3.7	2	3.281
1266	9	Industrial Engineering	361	LEC	3	2	2.736
1744	9	Industrial Engineering	361	LEC	2.3	2	2.356
2575	6	Industrial Engineering	361	LEC	4	2	3.162
5028	9	Industrial Engineering	361	LEC	4	2	3.512
4983	6	Industrial Engineering	361	LEC	3.3	2	3.129
3968	9	Industrial Engineering	361	LEC	4	2	3.417
3644	9	Industrial Engineering	361	LEC	3.3	2	2.74
662	10	Industrial Engineering	361	LEC	4	2	3.737
441	6	Industrial Engineering	361	LEC	4	2	3.54
5362	13	Industrial Engineering	361	LEC	2.7	2	2.473
4458	9	Industrial Engineering	361	LEC	3.3	2	2.977
1769	13	Industrial Engineering	361	LEC	4	2	3.395
6787	13	Industrial Engineering	361	LEC	3	2	2.712
2609	9	Industrial Engineering	361	LEC	3.3	2	3.081
3287	9	Industrial Engineering	361	LEC	3	2	2.549
5636	13	Industrial Engineering	361	LEC	2.7	2	2.229
649	9	Industrial Engineering	361	LEC	3.7	2	3.392
6161	10	Industrial Engineering	361	LEC	3.3	2	3.329
249	9	Industrial Engineering	361	LEC	4	2	3.081
3590	10	Industrial Engineering	361	LEC	4	2	3.225
856	9	Industrial Engineering	361	LEC	3.7	2	3.284
4341	10	Industrial Engineering	361	LEC	3	2	2.321
6406	9	Industrial Engineering	361	LEC	3	2	3.035
5867	10	Industrial Engineering	361	LEC	4	2	3.558
4792	10	Industrial Engineering	361	LEC	2.7	2	2.784
5379	6	Industrial Engineering	361	LEC	4	2	3.674
6810	6	Industrial Engineering	361	LEC	3.7	2	3.261
6362	17	Industrial Engineering	361	LEC	2.3	2	1.918
2494	6	Industrial Engineering	361	LEC	4	2	3.995
2100	10	Industrial Engineering	361	LEC	3.7	2	3.017
3248	6	Industrial Engineering	361	LEC	3.7	2	2.718
3261	10	Industrial Engineering	361	LEC	3.3	2	2.811
6874	6	Industrial Engineering	361	LEC	4	2	3.76
1021	10	Industrial Engineering	361	LEC	2	2	1.796
3073	9	Industrial Engineering	361	LEC	4	2	3.87
3640	17	Industrial Engineering	361	LEC	2.3	2	2.367
1532	9	Industrial Engineering	361	LEC	3	2	2.858
5385	9	Industrial Engineering	361	LEC	3.3	2	3.464
847	9	Industrial Engineering	361	LEC	3.3	2	3.077
5004	10	Industrial Engineering	361	LEC	3.3	2	3.357
874	10	Industrial Engineering	361	LEC	4	2	3.405
2685	9	Industrial Engineering	361	LEC	3.3	2	2.817
17	9	Industrial Engineering	361	LEC	4	2	3.584
6579	9	Industrial Engineering	361	LEC	4	2	3.508
3835	10	Industrial Engineering	361	LEC	3.7	2	3.463
135	10	Industrial Engineering	361	LEC	4	2	2.858
6799	6	Industrial Engineering	361	LEC	NA	2	3.943
1328	9	Industrial Engineering	361	LEC	4	2	3.415
5629	9	Industrial Engineering	361	LEC	4	2	3.049
329	10	Industrial Engineering	361	LEC	3	2	2.851
5860	9	Industrial Engineering	361	LEC	4	2	3.12
6449	6	Industrial Engineering	361	LEC	NA	2	3.979
2460	10	Industrial Engineering	361	LEC	3	2	2.834
6618	9	Industrial Engineering	361	LEC	2.7	2	2.496
1415	14	Industrial Engineering	361	LEC	2.3	2	2.367
3936	6	Industrial Engineering	361	LEC	4	2	3.815
5024	9	Industrial Engineering	361	LEC	3.7	2	3.186
2373	6	Industrial Engineering	361	LEC	3.7	2	3.585
5744	9	Industrial Engineering	361	LEC	3	2	3.135
1386	6	Industrial Engineering	361	LEC	4	2	3.526
573	9	Industrial Engineering	361	LEC	3	2	2.926
428	14	Industrial Engineering	361	LEC	3.3	2	2.78
12	9	Industrial Engineering	361	LEC	NA	2	3.612
1699	10	Industrial Engineering	361	LEC	3.7	2	3.087
1786	9	Industrial Engineering	361	LEC	3.7	2	3.48
6916	18	Industrial Engineering	361	LEC	3	2	2.601
2710	10	Industrial Engineering	361	LEC	3	2	2.397
1924	6	Industrial Engineering	361	LEC	4	2	3.541
1594	9	Industrial Engineering	361	LEC	3	2	2.549
544	10	Industrial Engineering	361	LEC	3.7	2	3.651
443	9	Industrial Engineering	361	LEC	4	2	3.208
6007	9	Industrial Engineering	361	LEC	3.7	2	3.534
1055	9	Industrial Engineering	361	LEC	2.7	2	2.547
6358	14	Industrial Engineering	361	LEC	4	2	3.927
1932	10	Industrial Engineering	361	LEC	3.7	2	3.163
5044	6	Industrial Engineering	361	LEC	NA	2	3.629
2235	6	Industrial Engineering	361	LEC	2.7	2	2.325
1989	6	Industrial Engineering	361	LEC	3	2	3.014
6464	9	Industrial Engineering	361	LEC	4	2	3.768
3578	9	Industrial Engineering	361	LEC	3.7	2	3.626
3495	9	Industrial Engineering	361	LEC	3.7	2	3.043
6142	9	Industrial Engineering	361	LEC	3	2	2.549
5042	13	Industrial Engineering	361	LEC	3.3	2	3.347
3204	6	Industrial Engineering	361	LEC	3.7	2	2.885
321	9	Industrial Engineering	361	LEC	4	2	3.208
4308	9	Industrial Engineering	361	LEC	3.3	2	3.018
5682	10	Industrial Engineering	361	LEC	3	2	3.21
1946	14	Industrial Engineering	361	LEC	2.3	2	2.458
5759	10	Industrial Engineering	361	LEC	3.3	2	3.119
5981	14	Industrial Engineering	361	LEC	4	2	3.576
1746	9	Industrial Engineering	361	LEC	3.3	2	3.008
2988	9	Industrial Engineering	361	LEC	3.3	2	3.397
4886	10	Industrial Engineering	361	LEC	NA	2	3.576
1403	6	Industrial Engineering	361	LEC	4	2	3.568
586	9	Industrial Engineering	361	LEC	4	2	3.29
6598	13	Industrial Engineering	361	LEC	3.7	2	2.918
4891	9	Industrial Engineering	361	LEC	4	2	3.419
1459	10	Industrial Engineering	361	LEC	4	2	2.85
897	10	Industrial Engineering	361	LEC	3	2	3.117
251	14	Industrial Engineering	361	LEC	2.7	2	2.45
2900	13	Industrial Engineering	361	LEC	4	2	3.553
6660	17	Industrial Engineering	361	LEC	3.3	2	3.238
4863	10	Industrial Engineering	361	LEC	4	2	3.259
3401	9	Industrial Engineering	361	LEC	3.7	2	3.189
1225	9	Industrial Engineering	361	LEC	3	2	2.8
5662	13	Industrial Engineering	361	LEC	3.3	2	3.028
1377	9	Industrial Engineering	361	LEC	4	2	3.549
4579	9	Industrial Engineering	361	LEC	4	2	2.915
6753	10	Industrial Engineering	361	LEC	3.3	2	3.299
5445	10	Industrial Engineering	361	LEC	3.7	2	3.347
6565	10	Industrial Engineering	361	LEC	3	2	2.903
4762	9	Industrial Engineering	361	LEC	4	2	3.469
5667	14	Industrial Engineering	361	LEC	2.7	2	2.488
876	9	Industrial Engineering	361	LEC	4	2	3.404
2358	6	Industrial Engineering	361	LEC	3.7	2	3.243
5141	9	Industrial Engineering	361	LEC	3.7	2	3.21
4498	9	Industrial Engineering	361	LEC	3.7	2	3.752
6191	9	Industrial Engineering	361	LEC	3.7	2	2.921
1392	10	Industrial Engineering	361	LEC	3	2	2.653
4980	9	Industrial Engineering	361	LEC	3	2	2.943
1083	10	Industrial Engineering	361	LEC	3.7	2	2.916
4905	9	Industrial Engineering	361	LEC	3.7	2	3.613
3135	9	Industrial Engineering	361	LEC	4	2	3.214
448	9	Industrial Engineering	361	LEC	3.7	2	2.883
2078	6	Industrial Engineering	361	LEC	4	2	3.843
5466	10	Industrial Engineering	361	LEC	3	2	2.928
1166	6	Economics, General	66	LEC	3.7	4	4
1740	6	Economics, General	66	LEC	3	4	3.625
5755	5	Economics, General	66	LEC	3.3	4	3.757
687	5	Economics, General	66	LEC	3	4	3.419
350	6	Economics, General	66	LEC	3.3	4	3.713
493	5	Economics, General	66	LEC	3	4	3.532
1991	2	Economics, General	66	LEC	3	4	3.331
577	5	Economics, General	66	LEC	3	4	3.881
4788	5	Economics, General	66	LEC	3	4	3.392
1171	6	Economics, General	66	LEC	3	4	3.411
6093	5	Economics, General	66	LEC	3	4	3.373
5572	5	Economics, General	66	LEC	3	4	3.38
3234	5	Economics, General	66	LEC	3	4	3.43
3123	5	Economics, General	66	LEC	3	4	3.557
4929	2	Economics, General	66	LEC	3.3	4	3.682
1481	5	Economics, General	66	LEC	3.3	4	3.667
6043	2	Economics, General	66	LEC	4	4	3.952
4837	5	Economics, General	66	LEC	2.7	4	3.137
